"project_id","camera_id","make","model","serial_number","year_purchased"
"ALM","P800HG08192031","Reconyx","PC800 PROFESSIONAL","P800HG08192031","2017"
"ALM","P800HK03274372","Reconyx","PC800 PROFESSIONAL","P800HK03274372","2017"
"ALM","P800HK03274413","Reconyx","PC800 PROFESSIONAL","P800HK03274413","2017"
"ALM","P800HJ10265507","Reconyx","PC800 PROFESSIONAL","P800HJ10265507","2017"
"ALM","P800HK01270979","Reconyx","PC800 PROFESSIONAL","P800HK01270979","2017"
"ALM","P800HK01270983","Reconyx","PC800 PROFESSIONAL","P800HK01270983","2017"
"ALM","P800HF01172773","Reconyx","PC800 PROFESSIONAL","P800HF01172773","2017"
"ALM","P800HG08192104","Reconyx","PC800 PROFESSIONAL","P800HG08192104","2017"
"ALM","P800DD10112244","Reconyx","PC800 PROFESSIONAL","P800DD10112244","2017"
"ALM","P800HF09164015","Reconyx","PC800 PROFESSIONAL","P800HF09164015","2017"
"ALM","P800HF01172971","Reconyx","PC800 PROFESSIONAL","P800HF01172971","2017"
"ALM","P800DD10112240","Reconyx","PC800 PROFESSIONAL","P800DD10112240","2017"
"ALM","P800DD10112218","Reconyx","PC800 PROFESSIONAL","P800DD10112218","2017"
"ALM","P800DD10112216","Reconyx","PC800 PROFESSIONAL","P800DD10112216","2017"
"ALM","P800HF01172955","Reconyx","PC800 PROFESSIONAL","P800HF01172955","2017"
"ALM","P800HF09164060","Reconyx","PC800 PROFESSIONAL","P800HF09164060","2017"
"ALM","P800DD10112227","Reconyx","PC800 PROFESSIONAL","P800DD10112227","2017"
"ALM","P800DD10112221","Reconyx","PC800 PROFESSIONAL","P800DD10112221","2017"
"ALM","P800DD10112232","Reconyx","PC800 PROFESSIONAL","P800DD10112232","2017"
"ALM","P800HF01172952","Reconyx","PC800 PROFESSIONAL","P800HF01172952","2017"
"ALM","P800DD10112252","Reconyx","PC800 PROFESSIONAL","P800DD10112252","2017"
"ALM","P800DD10112239","Reconyx","PC800 PROFESSIONAL","P800DD10112239","2017"
"ALM","P800DD10112265","Reconyx","PC800 PROFESSIONAL","P800DD10112265","2017"
"ALM","P800HG09194616","Reconyx","PC800 PROFESSIONAL","P800HG09194616","2017"
"ALM","P800HG09194631","Reconyx","PC800 PROFESSIONAL","P800HG09194631","2017"
"ALM","P800DD10112251","Reconyx","PC800 PROFESSIONAL","P800DD10112251","2017"
"ALM","P800DD10112308","Reconyx","PC800 PROFESSIONAL","P800DD10112308","2017"
"ALM","P800HG08192030","Reconyx","PC800 PROFESSIONAL","P800HG08192030","2017"
"ALM","P800HI01226373","Reconyx","PC800 PROFESSIONAL","P800HI01226373","2017"
"ALM","P800HG08192026","Reconyx","PC800 PROFESSIONAL","P800HG08192026","2017"
"ALM","P800DD10112261","Reconyx","PC800 PROFESSIONAL","P800DD10112261","2017"
"ALM","P800DD10112234","Reconyx","PC800 PROFESSIONAL","P800DD10112234","2017"
"ALM","P800DD10112264","Reconyx","PC800 PROFESSIONAL","P800DD10112264","2017"
"ALM","P800DD10112258","Reconyx","PC800 PROFESSIONAL","P800DD10112258","2017"
"ALM","P800HF09164234","Reconyx","PC800 PROFESSIONAL","P800HF09164234","2017"
"ALM","P800HF09164018","Reconyx","PC800 PROFESSIONAL","P800HF09164018","2017"
"ALM","P800DD10112297","Reconyx","PC800 PROFESSIONAL","P800DD10112297","2017"
"ALM","P800DD10112217","Reconyx","PC800 PROFESSIONAL","P800DD10112217","2017"
"ALM","P800HG8192007","Reconyx","PC800 PROFESSIONAL","P800HG8192007","2017"
"ALM","P800DD10112220","Reconyx","PC800 PROFESSIONAL","P800DD10112220","2017"
