"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
1,"F8_site-2018-06-10T00:00:00.000Z-2018-08-23T00:00:00.000Z","F8_site",-122.96442,50.951897,"2018-06-10T00:00:00.000Z","2018-08-23T00:00:00.000Z","","","None","","None","",639,"","Camera Functioning","Unknown","","Parallel","",""
1,"B6_site-2018-06-12T00:00:00.000Z-2018-09-18T00:00:00.000Z","B6_site",-123.107702,51.018076,"2018-06-12T00:00:00.000Z","2018-09-18T00:00:00.000Z","","","None","","None","",540,"","Camera Functioning","Unknown","","Parallel","",""
1,"H8_site-2018-06-20T00:00:00.000Z-2018-07-28T00:00:00.000Z","H8_site",-122.882466,50.960709,"2018-06-20T00:00:00.000Z","2018-07-28T00:00:00.000Z","","","None","","None","",134,"","Camera Functioning","Unknown","","Parallel","",""
1,"H4_site-2018-06-15T00:00:00.000Z-2018-08-21T00:00:00.000Z","H4_site",-122.889363,51.067641,"2018-06-15T00:00:00.000Z","2018-08-21T00:00:00.000Z","","","None","","None","",233,"","Camera Functioning","Unknown","","Parallel","",""
1,"L9_site-2018-05-20T00:00:00.000Z-2018-06-27T00:00:00.000Z","L9_site",-122.73557,50.92769,"2018-05-20T00:00:00.000Z","2018-06-27T00:00:00.000Z","","","None","","None","",8,"","Camera Functioning","Unknown","","Parallel","",""
1,"G3_site-2018-06-15T00:00:00.000Z-2018-08-21T00:00:00.000Z","G3_site",-122.912561,51.073422,"2018-06-15T00:00:00.000Z","2018-08-21T00:00:00.000Z","","","None","","None","",230,"","Camera Functioning","Unknown","","Parallel","",""
1,"F9_site-2018-07-17T00:00:00.000Z-2018-07-27T00:00:00.000Z","F9_site",-122.9606,50.93533,"2018-07-17T00:00:00.000Z","2018-07-27T00:00:00.000Z","","","None","","None","",123,"","Camera Functioning","Unknown","","Parallel","",""
1,"I9_site-2018-08-13T00:00:00.000Z-2018-09-25T00:00:00.000Z","I9_site",-122.85256,50.91954,"2018-08-13T00:00:00.000Z","2018-09-25T00:00:00.000Z","","","None","","None","",118,"","Camera Functioning","Unknown","","Parallel","",""
1,"E5_site-2018-06-11T00:00:00.000Z-2018-09-18T00:00:00.000Z","E5_site",-122.983455,51.021185,"2018-06-11T00:00:00.000Z","2018-09-18T00:00:00.000Z","","","None","","None","",439,"","Camera Functioning","Unknown","","Parallel","",""
1,"M9_site-2018-07-05T00:00:00.000Z-2018-09-01T00:00:00.000Z","M9_site",-122.70708,50.91451,"2018-07-05T00:00:00.000Z","2018-09-01T00:00:00.000Z","","","None","","None","",9,"","Camera Functioning","Unknown","","Parallel","",""
1,"I6_site-2018-06-08T00:00:00.000Z-2018-08-20T00:00:00.000Z","I6_site",-122.845424,50.996737,"2018-06-08T00:00:00.000Z","2018-08-20T00:00:00.000Z","","","None","","None","",640,"","Camera Functioning","Unknown","","Parallel","",""
1,"I3_site-2018-07-29T00:00:00.000Z-2018-09-20T00:00:00.000Z","I3_site",-122.84042,51.08038,"2018-07-29T00:00:00.000Z","2018-09-20T00:00:00.000Z","","","None","","None","",117,"","Camera Functioning","Unknown","","Parallel","",""
1,"C6_site-2018-06-12T00:00:00.000Z-2018-09-18T00:00:00.000Z","C6_site",-123.065075,51.003239,"2018-06-12T00:00:00.000Z","2018-09-18T00:00:00.000Z","","","None","","None","",437,"","Camera Functioning","Unknown","","Parallel","",""
1,"K4_site-2018-07-06T00:00:00.000Z-2018-09-20T00:00:00.000Z","K4_site",-122.76674,51.05093,"2018-07-06T00:00:00.000Z","2018-09-20T00:00:00.000Z","","","None","","None","",113,"","Camera Functioning","Unknown","","Parallel","",""
1,"I8_site-2018-06-20T00:00:00.000Z-2018-08-13T00:00:00.000Z","I8_site",-122.86188,50.9406,"2018-06-20T00:00:00.000Z","2018-08-13T00:00:00.000Z","","","None","","None","",12,"","Camera Functioning","Unknown","","Parallel","",""
1,"J10_site-2018-07-15T00:00:00.000Z-2018-09-14T00:00:00.000Z","J10_site",-122.81475,50.90162,"2018-07-15T00:00:00.000Z","2018-09-14T00:00:00.000Z","","","None","","None","",112,"","Camera Functioning","Unknown","","Parallel","",""
1,"I3_site-2018-06-03T00:00:00.000Z-2018-06-21T00:00:00.000Z","I3_site",-122.84042,51.08038,"2018-06-03T00:00:00.000Z","2018-06-21T00:00:00.000Z","","","None","","None","",117,"","Camera Functioning","Unknown","","Parallel","",""
1,"K9_site-2018-05-20T00:00:00.000Z-2018-06-19T00:00:00.000Z","K9_site",-122.77542,50.9194,"2018-05-20T00:00:00.000Z","2018-06-19T00:00:00.000Z","","","None","","None","",122,"","Camera Functioning","Unknown","","Parallel","",""
1,"H10_site-2018-06-23T00:00:00.000Z-2018-08-12T00:00:00.000Z","H10_site",-122.88873,50.90774,"2018-06-23T00:00:00.000Z","2018-08-12T00:00:00.000Z","","","None","","None","",109,"","Camera Functioning","Unknown","","Parallel","",""
1,"J10a-2018-05-12T00:00:00.000Z-2018-09-25T00:00:00.000Z","J10a",-122.825037,50.913812,"2018-05-12T00:00:00.000Z","2018-09-25T00:00:00.000Z","","","None","","None","",638,"","Camera Functioning","Unknown","","Parallel","",""
1,"I9_site-2018-05-21T00:00:00.000Z-2018-06-23T00:00:00.000Z","I9_site",-122.85256,50.91954,"2018-05-21T00:00:00.000Z","2018-06-23T00:00:00.000Z","","","None","","None","",118,"","Camera Functioning","Unknown","","Parallel","",""
