"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
"WI-WWFSPAIN-PILOT","L2-2017-06-14-2017-07-14","L2",-3.45226502,38.54497952,2017-06-14,2017-07-14,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","N9-2017-06-14-2017-07-12","N9",-3.44245174,38.53440299,2017-06-14,2017-07-12,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","L1-2017-06-14-2017-07-12","L1",-3.454410033,38.5420819,2017-06-14,2017-07-12,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","L3-2017-06-14-2017-07-12","L3",-3.447482893,38.54856589,2017-06-14,2017-07-12,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","L4-2017-05-26-2017-06-25","L4",-3.446128378,38.55095322,2017-05-26,2017-06-25,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","L5-2017-06-14-2017-07-12","L5",-3.44928802,38.5541313,2017-06-14,2017-07-12,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","L6-2017-06-14-2017-07-22","L6",-3.451047968,38.55879391,2017-06-14,2017-07-22,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","L7-2017-05-26-2017-07-26","L7",-3.455154514,38.55461611,2017-05-26,2017-07-26,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","L8-2017-05-26-2017-07-12","L8",-3.459635815,38.55862602,2017-05-26,2017-07-12,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","L9-2017-06-23-2017-07-19","L9",-3.469651183,38.55553318,2017-06-23,2017-07-19,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","N1-2017-06-22-2017-06-26","N1",-3.450097041,38.53446057,2017-06-22,2017-06-26,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","N2-2017-06-14-2017-07-26","N2",-3.455224503,38.52990056,2017-06-14,2017-07-26,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","N3-2017-06-14-2017-07-26","N3",-3.445365541,38.52857254,2017-06-14,2017-07-26,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","N4-2017-06-14-2017-07-12","N4",-3.43952788,38.53036626,2017-06-14,2017-07-12,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","N5-2017-06-14-2017-07-02","N5",-3.439525114,38.52686606,2017-06-14,2017-07-02,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","N6-2017-06-14-2017-07-12","N6",-3.433132404,38.53074848,2017-06-14,2017-07-12,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","N7-2017-06-14-2017-06-28","N7",-3.430824028,38.52847849,2017-06-14,2017-06-28,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
"WI-WWFSPAIN-PILOT","N8-2017-06-14-2017-07-26","N8",-3.427311927,38.5290503,2017-06-14,2017-07-26,"","","None","","Road dirt","",1,"","Camera Functioning","Knee height","","Parallel","",""
