"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
"CTCAJ","CTCAJ013743","CTCAJ01","-77.256113","3.536113","10/22/14 0:00","12/8/14 0:00","","","None","","None","","CAJ01","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ023749","CTCAJ02","-77.247525","3.536315","10/22/14 0:00","12/8/14 0:00","","","None","","None","","CAJ02","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ033779","CTCAJ03","-77.262527","3.529033","10/22/14 0:00","12/8/14 0:00","","","None","","None","","CAJ03","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ043772","CTCAJ04","-77.263896","3.541175","10/23/14 0:00","12/8/14 0:00","","","None","","None","","CAJ04","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ053782","CTCAJ05","-77.252343","3.526541","10/26/14 0:00","12/8/14 0:00","","","None","","None","","CAJ05","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ063750","CTCAJ06","-77.251785","3.508987","10/23/14 0:00","12/8/14 0:00","","","None","","None","","CAJ06","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ073781","CTCAJ07","-77.244478","3.502379","10/25/14 0:00","12/8/14 0:00","","","None","","None","","CAJ07","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ083775","CTCAJ08","-77.265687","3.517793","10/24/14 0:00","12/8/14 0:00","","","None","","None","","CAJ08","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ093776","CTCAJ09","-77.266945","3.507583","10/24/14 0:00","12/6/14 0:00","","","None","","None","","CAJ09","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ103744","CTCAJ10","-77.272572","3.526149","10/24/14 0:00","12/4/14 0:00","","","None","","None","","CAJ10","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ113742","CTCAJ11","-77.259019","3.502055","10/25/14 0:00","12/12/14 0:00","","","None","","None","","CAJ11","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ123777","CTCAJ12","-77.268014","3.495466","10/24/14 0:00","12/8/14 0:00","","","None","","None","","CAJ12","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ133746","CTCAJ13","-77.264586","3.487085","10/26/14 0:00","12/8/14 0:00","","","None","","None","","CAJ13","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ143747","CTCAJ14","-77.264586","3.487085","10/24/14 0:00","12/8/14 0:00","","","None","","None","","CAJ14","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ143748","CTCAJ14","-77.277436","3.495577","10/24/14 0:00","12/8/14 0:00","","","None","","None","","CAJ14","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ153745","CTCAJ15","-77.253235","3.496230","10/27/14 0:00","12/8/14 0:00","","","None","","None","","CAJ15","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ163747","CTCAJ16","-77.266820","3.549598","10/25/14 0:00","12/8/14 0:00","","","None","","None","","CAJ16","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ183778","CTCAJ18","-77.240829","3.522902","10/25/14 0:00","12/8/14 0:00","","","None","","None","","CAJ18","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTCAJ","CTCAJ193741","CTCAJ19","-77.232767","3.518382","10/25/14 0:00","12/8/14 0:00","","","None","","None","","CAJ19","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTPP","CTPP013741","CTPP01","-76.861978","5.117167","8/25/14 0:00","10/5/14 0:00","","","None","","None","","PP01","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTPP","CTPP023775","CTPP02","-76.869395","5.111096","8/25/14 0:00","10/5/14 0:00","","","None","","None","","PP02","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTPP","CTPP033778","CTPP03","-76.876613","5.116177","8/27/14 0:00","10/4/14 0:00","","","None","","None","","PP03","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTPP","CTPP043742","CTPP04","-76.883974","5.111863","8/27/14 0:00","10/4/14 0:00","","","None","","None","","PP04","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTPP","CTPP053783","CTPP05","-76.882192","5.105230","8/27/14 0:00","10/3/14 0:00","","","None","","None","","PP05","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTPP","CTPP063748","CTPP06","-76.883347","5.120898","8/28/14 0:00","10/4/14 0:00","","","None","","None","","PP06","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTPP","CTPP073782","CTPP07","-76.889840","5.126809","8/29/14 0:00","10/4/14 0:00","","","None","","None","","PP07","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTPP","CTPP083779","CTPP08","-76.890570","5.133429","8/28/14 0:00","10/4/14 0:00","","","None","","None","","PP08","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
"CTPP","CTPP093776","CTPP09","-76.882864","5.131016","8/28/14 0:00","10/4/14 0:00","","","None","","None","","PP09","","Camera Functioning","Knee height","","Parallel","","Angélica Díaz-Pulido"
