,Class,Family,Genus,Species.ID,Species,Order,Species.1,wi_class,wi_order,wi_family,wi_genus,wi_species,wi_common_name,wi_taxon_id
1,NA,NA,Mountain ,10,Mountain  biker,NA,biker,,,,,,,
2,NA,NA,Ursus,3,Ursus americanus,NA,americanus,,,,,,,
3,NA,NA,Odocoileus,2,Odocoileus hemionus,NA,hemionus,,,,,,,
4,NA,NA,Equus,132,Equus caballus,NA,caballus,,,,,,,
5,NA,NA,Car,30,Car truck,NA,truck,,,,,,,
6,NA,NA,Horseback,133,Horseback rider,NA,rider,,,,,,,
7,NA,NA,Lepus ,1,Lepus  americanus,NA,americanus,,,,,,,
8,NA,NA,Canis,9,Canis lupus,NA,lupus,,,,,,,
9,NA,NA,Tamiascirus,13,Tamiascirus douglasii,NA,douglasii,,,,,,,
10,NA,NA,Quad,7,Quad side_by_side,NA,side_by_side,,,,,,,
11,NA,NA,Hiker,12,Hiker hiker,NA,hiker,,,,,,,
12,NA,NA,Bos,137,Bos taurus,NA,taurus,,,,,,,
13,NA,NA,Alces,6,Alces alces,NA,alces,,,,,,,
14,NA,NA,Colaptes,32,Colaptes auratus,NA,auratus,,,,,,,
15,NA,NA,Canis,20,Canis familiaris,NA,familiaris,,,,,,,
16,NA,NA,Junco,139,Junco hyemalis,NA,hyemalis,,,,,,,
17,NA,NA,Canis,4,Canis latrans,NA,latrans,,,,,,,
18,NA,NA,Zonotrichia,145,Zonotrichia leucophrys,NA,leucophrys,,,,,,,
19,NA,NA,Dendragapus,11,Dendragapus fuliginosus,NA,fuliginosus,,,,,,,
20,NA,NA,Tamias,34,Tamias EDIT,NA,EDIT,,,,,,,
21,NA,NA,Lynx,28,Lynx canadensis,NA,canadensis,,,,,,,
22,NA,NA,Marmota,25,Marmota caligata,NA,caligata,,,,,,,
23,NA,NA,Glaucomys ,140,Glaucomys  sabrinus,NA,sabrinus,,,,,,,
24,NA,NA,Catharus,23,Catharus guttatus,NA,guttatus,,,,,,,
25,NA,NA,Peromyscus,16,Peromyscus spp,NA,spp,,,,,,,
26,NA,NA,Mustela ,247,Mustela  erminea,NA,erminea,,,,,,,
27,NA,NA,Turdus,14,Turdus migratorius,NA,migratorius,,,,,,,
28,NA,NA,Motor,18,Motor bike,NA,bike,,,,,,,
29,NA,NA,Puma,5,Puma concolor,NA,concolor,,,,,,,
30,NA,NA,Falcipennis,136,Falcipennis canadensis,NA,canadensis,,,,,,,
31,NA,NA,Ursus,27,Ursus arctos,NA,arctos,,,,,,,
32,NA,NA,Corvux,141,Corvux corax,NA,corax,,,,,,,
33,NA,NA,Ixoreus ,148,Ixoreus  naevius,NA,naevius,,,,,,,
34,NA,NA,Martes,29,Martes americana,NA,americana,,,,,,,
35,NA,NA,Myadestes,134,Myadestes townsendi,NA,townsendi,,,,,,,
36,NA,NA,Setophaga ,149,Setophaga  coronata,NA,coronata,,,,,,,
37,NA,NA,Unidentified,21,Unidentified vehicle,NA,vehicle,,,,,,,
38,NA,NA,Bonasa,31,Bonasa umbellus,NA,umbellus,,,,,,,
39,NA,NA,Nucifraga,22,Nucifraga columbiana,NA,columbiana,,,,,,,
40,NA,NA,Lynx,15,Lynx spp,NA,spp,,,,,,,
41,NA,NA,Perisoreus,38,Perisoreus canadensis,NA,canadensis,,,,,,,
42,NA,NA,Passerine,24,Passerine spp,NA,spp,,,,,,,
43,NA,NA,Pipilo,35,Pipilo maculatus,NA,maculatus,,,,,,,
44,NA,NA,Unknown,37,Unknown species,NA,species,,,,,,,
45,NA,NA,Cyanocitta,254,Cyanocitta stelleri,NA,stelleri,,,,,,,
46,NA,NA,Picoides,354,Picoides dorsalis,NA,dorsalis,,,,,,,
47,NA,NA,Lontra ,355,Lontra  canadensis,NA,canadensis,,,,,,,
48,NA,NA,Sphyrapicus,135,Sphyrapicus nuchalis,NA,nuchalis,,,,,,,
49,NA,NA,Pekania,138,Pekania pennanti,NA,pennanti,,,,,,,
50,NA,NA,Passerella ,150,Passerella  iliaca,NA,iliaca,,,,,,,
51,NA,NA,Spizella ,142,Spizella  passerina,NA,passerina,,,,,,,
52,NA,NA,Catharus,33,Catharus ustulatus,NA,ustulatus,,,,,,,
53,NA,NA,Lynx,19,Lynx rufus,NA,rufus,,,,,,,
54,NA,NA,Empidonax,144,Empidonax oberholseri,NA,oberholseri,,,,,,,
55,NA,NA,Neotoma,146,Neotoma cinerea,NA,cinerea,,,,,,,
56,NA,NA,Gulo,147,Gulo gulo,NA,gulo,,,,,,,
57,NA,NA,Spinus,255,Spinus pinus,NA,pinus,,,,,,,
58,NA,NA,Eremophila,26,Eremophila alpestris,NA,alpestris,,,,,,,
59,NA,NA,Erethizon,252,Erethizon dorsatum,NA,dorsatum,,,,,,,
60,NA,NA,Vulpes,249,Vulpes vulpes,NA,vulpes,,,,,,,
61,NA,NA,Anaxyrus,17,Anaxyrus boreas,NA,boreas,,,,,,,
62,NA,NA,Weasel,36,Weasel spp,NA,spp,,,,,,,
63,NA,NA,Melospiza,248,Melospiza melodia,NA,melodia,,,,,,,
64,NA,NA,Dryobates,253,Dryobates villosus,NA,villosus,,,,,,,
65,NA,NA,Regulus,251,Regulus satrapa,NA,satrapa,,,,,,,
66,NA,NA,Setophaga,151,Setophaga ruticilla,NA,ruticilla,,,,,,,
67,NA,NA,Martes,8,Martes spp,NA,spp,,,,,,,
68,NA,NA,,NA,,NA,,,,,,,,
69,NA,NA,Contopus,454,Contopus sordidulus,NA,sordidulus,,,,,,,
70,NA,NA,Molothrus,143,Molothrus ater,NA,ater,,,,,,,
71,NA,NA,Poecile,353,Poecile gambeli,NA,gambeli,,,,,,,
72,NA,NA,Regulus,250,Regulus calendula,NA,calendula,,,,,,,
73,NA,NA,Mephitis,246,Mephitis mephitis,NA,mephitis,,,,,,,
74,NA,NA,Bat,453,Bat species,NA,species,,,,,,,
