project_id,deployment_id,placename,longitude,latitude,start_date,end_date,event,array_name,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,recorded_by
HW_WWT,WWT_01,WWT_01,-0.2355035,51.476120,2019-07-18 11:32:58,2019-08-01 07:42:41,NA,NA,None,NA,None,NA,LHW18160,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_02,WWT_02,-0.2346857,51.476050,2019-07-18 11:22:40,2019-08-01 09:08:36,NA,NA,None,NA,None,NA,OW1812,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_03,WWT_03,-0.232532117,51.476072,2019-07-18 11:49:34,2019-08-01 09:50:34,NA,NA,None,NA,None,NA,IOZ18cam06,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_04,WWT_04,-0.2309525,51.476015,2019-07-18 11:58:38,2019-08-01 11:08:33,NA,NA,None,NA,None,NA,LHW1930,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_05,WWT_05,-0.237244,51.476952,2019-07-19 10:08:38,2019-08-02 05:14:00,NA,NA,None,NA,None,NA,LHW1825,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_06,WWT_06,-0.2360467,51.477032,2019-07-18 15:41:17,2019-08-01 12:56:42,NA,NA,None,NA,None,NA,LHW188,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_07,WWT_07,-0.2343102,51.476934,2019-07-18 15:06:54,2019-08-01 09:53:49,NA,NA,None,NA,None,NA,LHW1815,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_08,WWT_08,-0.2326045,51.476845,2019-07-18 15:14:41,2019-08-01 08:48:36,NA,NA,None,NA,None,NA,LHW1827,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_09,WWT_09,-0.230952545,51.477045,2019-07-18 15:24:47,2019-08-01 09:54:16,NA,NA,None,NA,None,NA,LHW1920,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_10,WWT_10,-0.2297371,51.476561,2019-07-18 13:59:00,2019-08-01 09:12:43,NA,NA,None,NA,None,NA,LHW1817,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_11,WWT_11,-0.2274461,51.476897,2019-07-18 13:47:09,2019-08-01 09:14:02,NA,NA,None,NA,None,NA,LHW1834,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_12,WWT_12,-0.2356698,51.478099,2019-07-18 16:00:35,2019-08-01 09:39:22,NA,NA,None,NA,None,NA,IOZ18cam12,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_14,WWT_14,-0.2371978,51.476260,2019-07-19 10:35:47,2019-08-02 10:13:56,NA,NA,None,NA,None,NA,IOZ1816,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_15,WWT_15,-0.2293218,51.477391,2019-07-18 13:28:37,2019-08-01 12:06:53,NA,NA,None,NA,None,NA,LHW12,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_16,WWT_16,-0.2289331,51.477956,2019-07-18 13:11:22,2019-08-01 07:15:38,NA,NA,None,NA,None,NA,LHW1932,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_17,WWT_17,-0.2278846,51.477844,2019-07-18 12:52:11,2019-08-01 08:25:02,NA,NA,None,NA,None,NA,LHW1903,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_18,WWT_18,-0.2356027,51.479026,2019-07-18 16:10:50,2019-08-01 09:27:56,NA,NA,None,NA,None,NA,IOZ1828,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_19,WWT_19,-0.2344336,51.478999,2019-07-18 16:22:56,2019-08-01 09:55:25,NA,NA,None,NA,None,NA,IOZ1827,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_20,WWT_20,-0.2332965,51.479350,2019-06-19 11:44:31,2019-07-03 10:55:21,NA,NA,None,NA,None,NA,LHW1822,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_23,WWT_23,-0.2269176,51.478956,2019-07-18 12:21:34,2019-08-01 09:54:35,NA,NA,None,NA,None,NA,LHW1824,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_24,WWT_24,-0.235765,51.479991,2019-07-19 10:31:45,2019-08-02 09:16:18,NA,NA,None,NA,None,NA,LHW1835,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_25,WWT_25,-0.234111689,51.479966,2019-07-18 22:48:32,2019-08-01 22:48:19,NA,NA,None,NA,None,NA,LHW1902,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_26,WWT_26,-0.2335031,51.480083,2019-07-19 11:31:45,2019-08-02 11:04:05,NA,NA,None,NA,None,NA,IOZ1826,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_27,WWT_27,-0.2353138,51.481926,2019-07-19 12:57:36,2019-08-02 05:14:39,NA,NA,None,NA,None,NA,IOZ18cam10,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_29,WWT_29,-0.2268921,51.479978,2019-07-18 12:29:30,2019-08-01 08:57:03,NA,NA,None,NA,None,NA,LHW1913,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_30,WWT_30,-0.235584,51.480942,2019-07-19 12:46:28,2019-08-02 08:02:51,NA,NA,None,NA,None,NA,LHW1816,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_31,WWT_31,-0.233873,51.480851,2019-07-19 10:56:06,2019-08-02 11:11:12,NA,NA,None,NA,None,NA,IOZ18cam02,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_32,WWT_32,-0.2324396,51.481590,2019-07-19 13:09:02,2019-08-02 07:49:25,NA,NA,None,NA,None,NA,LHW1923,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_33,WWT_33,-0.2311926,51.481443,2019-07-19 13:19:57,2019-08-02 07:41:27,NA,NA,None,NA,None,NA,IOZ1825,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_34,WWT_34,-0.2295795,51.481349,2019-07-19 13:25:23,2019-08-02 09:40:14,NA,NA,None,NA,None,NA,IOZ1819,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
HW_WWT,WWT_35,WWT_35,-0.2277183,51.481161,2019-07-19 13:36:38,2019-08-02 07:31:24,NA,NA,None,NA,None,NA,LHW1916,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,NA
