"project_id","camera_id","make","model","serial_number","year_purchased"
1,639,"Prometheus","BTC5HDP","",""
1,540,"Prometheus","BTC5HDP","",""
1,134,"Prometheus","BTC5HDP","",""
1,233,"Prometheus","BTC5HDP","",""
1,8,"Prometheus","BTC5HDP","",""
1,230,"Prometheus","BTC5HDP","",""
1,123,"Prometheus","BTC5HDP","",""
1,118,"Prometheus","BTC5HDP","",""
1,439,"Prometheus","BTC5HDP","",""
1,9,"Prometheus","BTC5HDP","",""
1,640,"Prometheus","BTC5HDP","",""
1,117,"Prometheus","BTC5HDP","",""
1,437,"Prometheus","BTC5HDP","",""
1,113,"Prometheus","BTC5HDP","",""
1,12,"Prometheus","BTC5HDP","",""
1,112,"Prometheus","BTC5HDP","",""
1,122,"Prometheus","BTC5HDP","",""
1,109,"Prometheus","BTC5HDP","",""
1,638,"Prometheus","BTC5HDP","",""
1,7,"Prometheus","BTC5HDP","",""
1,110,"Prometheus","BTC5HDP","",""
1,125,"Prometheus","BTC5HDP","",""
1,115,"Prometheus","BTC5HDP","",""
1,11,"Prometheus","BTC5HDP","",""
1,234,"Prometheus","BTC5HDP","",""
1,4,"Prometheus","BTC5HDP","",""
1,3,"Prometheus","BTC5HDP","",""
1,121,"Prometheus","BTC5HDP","",""
1,133,"Prometheus","BTC5HDP","",""
1,438,"Prometheus","BTC5HDP","",""
1,2,"Prometheus","BTC5HDP","",""
1,1,"Prometheus","BTC5HDP","",""
1,124,"Prometheus","BTC5HDP","",""
1,232,"Prometheus","BTC5HDP","",""
1,119,"Prometheus","BTC5HDP","",""
1,10,"Prometheus","BTC5HDP","",""
1,637,"Prometheus","BTC5HDP","",""
1,128,"Prometheus","BTC5HDP","",""
1,131,"Prometheus","BTC5HDP","",""
1,237,"Prometheus","BTC5HDP","",""
1,538,"Prometheus","BTC5HDP","",""
1,135,"Prometheus","BTC5HDP","",""
1,539,"Prometheus","BTC5HDP","",""
1,338,"Prometheus","BTC5HDP","",""
1,337,"Prometheus","BTC5HDP","",""
1,130,"Prometheus","BTC5HDP","",""
1,116,"Prometheus","BTC5HDP","",""
1,6,"Prometheus","BTC5HDP","",""
1,126,"Prometheus","BTC5HDP","",""
1,114,"Prometheus","BTC5HDP","",""
1,136,"Prometheus","BTC5HDP","",""
1,129,"Prometheus","BTC5HDP","",""
1,120,"Prometheus","BTC5HDP","",""
1,235,"Prometheus","BTC5HDP","",""
1,127,"Prometheus","BTC5HDP","",""
1,537,"Prometheus","BTC5HDP","",""
1,5,"Prometheus","BTC5HDP","",""
1,111,"Prometheus","BTC5HDP","",""
1,236,"Prometheus","BTC5HDP","",""
1,229,"Prometheus","BTC5HDP","",""
1,231,"Prometheus","BTC5HDP","",""
