,Unnamed: 0,Class,Family,Genus,Species.ID,Species,Order,Species.1,wi_class,wi_order,wi_family,wi_genus,wi_species,wi_common_name,wi_taxon_id
0,1,,,Mountain,10,Mountain  biker,,biker,,,,,,Bicycle,c491e45f-4440-4bac-8013-7037262df4ea
1,2,,,Ursus,3,Ursus americanus,,americanus,Mammalia,Carnivora,Ursidae,Ursus,americanus,American Black Bear,436ddfdd-bc43-44c3-a25d-34671d3430a0
2,3,,,Odocoileus,2,Odocoileus hemionus,,hemionus,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,febff896-db40-4ac8-bcfe-5bb99a600950
3,4,,,Equus,132,Equus caballus,,caballus,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,5109acb4-e503-4147-a175-a3c6aa71f1e3
4,5,,,Car,30,Car truck,,truck,,,,,,Truck,5b56ce2c-8534-40af-9af3-3b226152eb03
5,6,,,Horseback,133,Horseback rider,,rider,Mammalia,Primates,Hominidae,Homo,sapiens,Human,990ae9dd-7a59-4344-afcb-1b7b21368000
6,7,,,Lepus,1,Lepus  americanus,,americanus,Mammalia,Lagomorpha,Leporidae,Lepus,americanus,Snowshoe Hare,0f2e2c41-f1bb-4cdd-8e97-ba7cffba3e86
7,8,,,Canis,9,Canis lupus,,lupus,Mammalia,Carnivora,Canidae,Canis,lupus,Grey Wolf,ee8d5a89-f82e-4323-80e2-0ffc9487ebaf
8,9,,,Tamiascirus,13,Tamiascirus douglasii,,douglasii,Mammalia,Rodentia,Sciuridae,Tamiasciurus,douglasii,Douglas's Squirrel,f67c4346-bbbd-43d5-9b19-b541d493019b
9,10,,,Quad,7,Quad side_by_side,,side_by_side,,,,,,ATV,6d2cb769-0553-450e-88a9-e95647dbac18
10,11,,,Hiker,12,Hiker hiker,,hiker,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Pedestrian,0de272bf-5eab-4198-a888-3a6e92f1460d
11,12,,,Bos,137,Bos taurus,,taurus,Mammalia,Artiodactyla,Bovidae,Bos,taurus,Domestic Cattle,aca65aaa-8c6d-4b69-94de-842b08b13bd6
12,13,,,Alces,6,Alces alces,,alces,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,429257d4-3ef2-47fb-b849-66ee6c107346
13,14,,,Colaptes,32,Colaptes auratus,,,Aves,Piciformes,Picidae,Colaptes,auratus,Yellow-shafted Flicker,02799ea2-fba0-4883-b27e-b41ae387e884
14,15,,,Canis,20,Canis familiaris,,familiaris,Mammalia,Carnivora,Canidae,Canis,lupus familiaris,Domestic Dog,3d80f1d6-b1df-4966-9ff4-94053c7a902a
15,16,,,Junco,139,Junco hyemalis,,hyemalis,Aves,Passeriformes,Passerellidae,Junco,hyemalis,Dark-eyed Junco,6395f8b8-1dd6-4887-9a57-b39923588d0e
16,17,,,Canis,4,Canis latrans,,latrans,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,aaf3b049-36e6-46dd-9a07-8a580e9618b7
