Project ID,Deployment ID,Deployment Location ID,Longitude,Latitude,Camera Deployment Begin Date,Camera Deployment End Date,Event,Array Name,Bait Type,Bait Description,Feature Type,Feature Type Methodology,Camera ID,Quiet Period Setting,Camera Failure Details,Height,Height Other,Angle,Angle Other,Recorded By
CTCAJ,CTCAJ013743,CTCAJ01,-77.256.113,3.536.113,22/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ01,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ023749,CTCAJ02,-77.247.525,3.536.315,22/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ02,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ033779,CTCAJ03,-77.262.527,3.529.033,22/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ03,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ043772,CTCAJ04,-77.263.896,3.541.175,23/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ04,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ053782,CTCAJ05,-77.252.343,3.526.541,26/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ05,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ063750,CTCAJ06,-77.251.785,3.508.987,23/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ06,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ073781,CTCAJ07,-77.244.478,3.502.379,25/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ07,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ083775,CTCAJ08,-77.265.687,3.517.793,24/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ08,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ093776,CTCAJ09,-77.266.945,3.507.583,24/10/2014 00:00:00,06/12/2014 00:00:00,,,None,,,,CAJ09,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ103744,CTCAJ10,-77.272.572,3.526.149,24/10/2014 00:00:00,04/12/2014 00:00:00,,,None,,,,CAJ10,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ113742,CTCAJ11,-77.259.019,3.502.055,25/10/2014 00:00:00,12/12/2014 00:00:00,,,None,,,,CAJ11,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ123777,CTCAJ12,-77.268.014,3.495.466,24/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ12,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ133746,CTCAJ13,-77.264.586,3.487.085,26/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ13,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ143747,CTCAJ14,-77.264.586,3.487.085,24/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ14,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ143748,CTCAJ14,-77.277.436,3.495.577,24/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ14,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ153745,CTCAJ15,-77.253.235,3.496.230,27/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ15,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ163747,CTCAJ16,-77.266.820,3.549.598,25/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ16,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ183778,CTCAJ18,-77.240.829,3.522.902,25/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ18,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTCAJ,CTCAJ193741,CTCAJ19,-77.232.767,3.518.382,25/10/2014 00:00:00,08/12/2014 00:00:00,,,None,,,,CAJ19,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP013741,CTPP01,-76.861.978,5.117.167,25/08/2014 00:00:00,05/10/2014 00:00:00,,,None,,,,PP01,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP023775,CTPP02,-76.869.395,5.111.096,25/08/2014 00:00:00,05/10/2014 00:00:00,,,None,,,,PP02,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP033778,CTPP03,-76.876.613,5.116.177,27/08/2014 00:00:00,04/10/2014 00:00:00,,,None,,,,PP03,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP043742,CTPP04,-76.883.974,5.111.863,27/08/2014 00:00:00,04/10/2014 00:00:00,,,None,,,,PP04,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP053783,CTPP05,-76.882.192,5.105.230,27/08/2014 00:00:00,03/10/2014 00:00:00,,,None,,,,PP05,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP063748,CTPP06,-76.883.347,5.120.898,28/08/2014 00:00:00,04/10/2014 00:00:00,,,None,,,,PP06,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP073782,CTPP07,-76.889.840,5.126.809,29/08/2014 00:00:00,04/10/2014 00:00:00,,,None,,,,PP07,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP083779,CTPP08,-76.890.570,5.133.429,28/08/2014 00:00:00,04/10/2014 00:00:00,,,None,,,,PP08,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP093776,CTPP09,-76.882.864,5.131.016,28/08/2014 00:00:00,04/10/2014 00:00:00,,,None,,,,PP09,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP103780,CTPP10,-76.874.056,5.133.089,28/08/2014 00:00:00,04/10/2014 00:00:00,,,None,,,,PP10,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP113750,CTPP11,-76.867.421,5.123.602,29/08/2014 00:00:00,04/10/2014 00:00:00,,,None,,,,PP11,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
CTPP,CTPP123745,CTPP12,-76.859.618,5.126.395,29/08/2014 00:00:00,03/10/2014 00:00:00,,,None,,,,PP12,,Camera Functioning,Knee height,,Parallel,,Angélica Díaz-Pulido
