"project_id","camera_id","make","model","serial_number","year_purchased"
"CTCAJ","CAJ01","Bushnell","","",""
"CTCAJ","CAJ02","Bushnell","","",""
"CTCAJ","CAJ03","Bushnell","","",""
"CTCAJ","CAJ04","Bushnell","","",""
"CTCAJ","CAJ05","Bushnell","","",""
"CTCAJ","CAJ06","Bushnell","","",""
"CTCAJ","CAJ07","Bushnell","","",""
"CTCAJ","CAJ08","Bushnell","","",""
"CTCAJ","CAJ09","Bushnell","","",""
"CTCAJ","CAJ10","Bushnell","","",""
"CTCAJ","CAJ11","Bushnell","","",""
"CTCAJ","CAJ12","Bushnell","","",""
"CTCAJ","CAJ13","Bushnell","","",""
"CTCAJ","CAJ14","Bushnell","","",""
"CTCAJ","CAJ15","Bushnell","","",""
"CTCAJ","CAJ16","Bushnell","","",""
"CTCAJ","CAJ18","Bushnell","","",""
"CTCAJ","CAJ19","Bushnell","","",""
"CTPP","PP01","Bushnell","","",""
"CTPP","PP02","Bushnell","","",""
"CTPP","PP03","Bushnell","","",""
"CTPP","PP04","Bushnell","","",""
"CTPP","PP05","Bushnell","","",""
"CTPP","PP06","Bushnell","","",""
"CTPP","PP07","Bushnell","","",""
"CTPP","PP08","Bushnell","","",""
"CTPP","PP09","Bushnell","","",""
"CTPP","PP10","Bushnell","","",""
"CTPP","PP11","Bushnell","","",""
"CTPP","PP12","Bushnell","","",""
"CTPP","PP13","Bushnell","","",""
"CTPP","PP14","Bushnell","","",""
"CTPP","PP15","Bushnell","","",""
"CTPP","PP16","Bushnell","","",""
"CTPP","PP17","Bushnell","","",""
"CTPP","PP18","Bushnell","","",""
"CTPP","PP19","Bushnell","","",""
"CTPP","PP20","Bushnell","","",""
"CTBM","BM001","Bushnell","","",""
"CTBM","BM002","Bushnell","","",""
"CTBM","BM003","Bushnell","","",""
"CTBM","BM004","Bushnell","","",""
"CTBM","BM005","Bushnell","","",""
"CTBM","BM006","Bushnell","","",""
"CTBM","BM007","Bushnell","","",""
"CTBM","BM008","Bushnell","","",""
"CTBM","BM009","Bushnell","","",""
"CTBM","BM010","Bushnell","","",""
"CTBM","BM011","Bushnell","","",""
"CTBM","BM012","Bushnell","","",""
"CTBM","BM013","Bushnell","","",""
"CTBM","BM014","Bushnell","","",""
"CTBM","BM015","Bushnell","","",""
"CTBM","BM016","Bushnell","","",""
"CTBM","BM017","Bushnell","","",""
"CTBM","BM018","Bushnell","","",""
"CTBM","BM019","Bushnell","","",""
"CTBM","BM020","Bushnell","","",""
"CTMUT","MUT01","Bushnell","","",""
"CTMUT","MUT02","Bushnell","","",""
"CTMUT","MUT03","Bushnell","","",""
"CTMUT","MUT06","Bushnell","","",""
"CTMUT","MUT07","Bushnell","","",""
"CTMUT","MUT08","Bushnell","","",""
"CTMUT","MUT09","Bushnell","","",""
"CTMUT","MUT10","Bushnell","","",""
"CTMUT","MUT11","Bushnell","","",""
"CTMUT","MUT12","Bushnell","","",""
"CTMUT","MUT13","Bushnell","","",""
"CTMUT","MUT14","Bushnell","","",""
"CTMUT","MUT15","Bushnell","","",""
"CTMUT","MUT16","Bushnell","","",""
"CTMUT","MUT17","Bushnell","","",""
"CTMUT","MUT18","Bushnell","","",""
