"","class","order","family","genus","species","common_name","wi_taxon_id","n"
"1","","","","","","ATV","6d2cb769-0553-450e-88a9-e95647dbac18",1571
"2","","","","","","Bicycle","c491e45f-4440-4bac-8013-7037262df4ea",27723
"3","","","","","","Blank","f1856211-cfb7-4a5b-9158-c0f72fd09ee6",9
"4","","","","","","Car","e2895ed5-780b-48f6-8a11-9e27cb594511",375
"5","","","","","","Motorcycle","57ba5c74-ac84-4c1b-adc4-e7802ec8dc5c",1049
"6","","","","","","Truck","5b56ce2c-8534-40af-9af3-3b226152eb03",4318
"7","Amphibia","Anura","Bufonidae","Anaxyrus","boreas","Western Toad","531f71ac-dd38-4d88-beff-45e782ea7be7",6
"8","Aves","Galliformes","Phasianidae","Bonasa","umbellus","Ruffed Grouse","4a54bb5f-d951-4a96-8ae1-a6ab9bdfce5b",79
"9","Aves","Galliformes","Phasianidae","Dendragapus","fuliginosus","Sooty Grouse","f7c1f421-53c8-4ff1-a53f-981ff4509709",552
"10","Aves","Galliformes","Phasianidae","Falcipennis","canadensis","Spruce Grouse","f4a7c936-de6e-4b67-96d5-4b6ae3a2df36",838
"11","Aves","Passeriformes","","","","Passeriformes Order","0b62f436-aced-4b92-ad12-4700b7185c79",255
"12","Aves","Passeriformes","Alaudidae","Eremophila","alpestris","Horned Lark","e8f340d7-e6f9-4c66-bf54-65621e1e83db",6
"13","Aves","Passeriformes","Corvidae","Corvus","corax","Common Raven","9805e578-061a-49c0-8abc-ea135381c162",95
"14","Aves","Passeriformes","Corvidae","Cyanocitta","stelleri","Steller's Jay","68b01aa1-dfc1-46a6-bcac-87767647ad17",12
"15","Aves","Passeriformes","Corvidae","Nucifraga","columbiana","Clark's Nutcracker","13ba39f3-908b-49f9-a4e3-0ecb019d8afb",108
"16","Aves","Passeriformes","Corvidae","Perisoreus","canadensis","Grey Jay","0a4869c1-f645-4e76-9b30-5a1ff0ab9adf",43
"17","Aves","Passeriformes","Fringillidae","Spinus","pinus","Pine Siskin","c1a19322-8439-4e53-8ff9-4fcc1fa60da9",3
"18","Aves","Passeriformes","Icteridae","Molothrus","ater","Brown-headed Cowbird","acda85bc-f4ae-43be-a1cf-77d8526207c4",3
"19","Aves","Passeriformes","Paridae","Poecile","gambeli","Mountain Chickadee","afb00c34-9ad0-4a3d-ae36-b828d4159afc",9
"20","Aves","Passeriformes","Parulidae","Setophaga","coronata","Myrtle Warbler","c12accc9-9a76-4d13-b9e3-6357f7412bc7",36
"21","Aves","Passeriformes","Parulidae","Setophaga","ruticilla","American Redstart","ff31e033-1f44-4772-9317-c1236e27a635",2
"22","Aves","Passeriformes","Passerellidae","Junco","hyemalis","Dark-eyed Junco","6395f8b8-1dd6-4887-9a57-b39923588d0e",139
"23","Aves","Passeriformes","Passerellidae","Melospiza","melodia","Song Sparrow","0f0ac612-8fd4-45fd-9afb-9628f4abb41b",2
"24","Aves","Passeriformes","Passerellidae","Passerella","iliaca","Red Fox-sparrow","56681b45-c922-4d50-a3c7-48a85795346b",35
"25","Aves","Passeriformes","Passerellidae","Pipilo","maculatus","Spotted Towhee","9f97ef7d-beb4-4350-b6c3-2738872173ab",66
"26","Aves","Passeriformes","Passerellidae","Spizella","passerina","Chipping Sparrow","e694a321-d807-4c57-b53a-758d6df448ac",18
"27","Aves","Passeriformes","Passerellidae","Zonotrichia","leucophrys","White-crowned Sparrow","fd02a22d-cff0-40e3-98f5-8a7f77382463",72
"28","Aves","Passeriformes","Regulidae","Regulus","calendula","Ruby-crowned Kinglet","64b49b97-2398-4643-acba-986aba56b303",1
"29","Aves","Passeriformes","Regulidae","Regulus","satrapa","Golden-crowned Kinglet","95ef7346-5611-4a19-9946-9a95366d72c5",2
"30","Aves","Passeriformes","Turdidae","Catharus","guttatus","Hermit Thrush","200b1e14-8f71-4e34-a197-e5699dd3b8d2",725
"31","Aves","Passeriformes","Turdidae","Catharus","ustulatus","Russet-backed Thrush","6acc4360-3b6c-4b7e-9d77-3c266e17255b",35
"32","Aves","Passeriformes","Turdidae","Ixoreus","naevius","Varied Thrush","f211fc1f-79c7-4f5d-b359-26f2405dfa2e",674
"33","Aves","Passeriformes","Turdidae","Myadestes","townsendi","Townsend's Solitaire","529b1f5f-a72e-4a1f-813d-39b38ec5e702",5
"34","Aves","Passeriformes","Turdidae","Turdus","migratorius","American Robin","23140944-2bd7-46ce-819a-c26508c53d62",703
"35","Aves","Passeriformes","Tyrannidae","Contopus","sordidulus","Western Wood-pewee","12b2a5ea-b9b9-48a6-8c45-ab32f9ff0468",3
"36","Aves","Passeriformes","Tyrannidae","Empidonax","oberholseri","American Dusky Flycatcher","74ad9376-b86f-4c46-be31-eae5f582c2c4",15
"37","Aves","Piciformes","Picidae","Colaptes","auratus","Yellow-shafted Flicker","02799ea2-fba0-4883-b27e-b41ae387e884",264
"38","Aves","Piciformes","Picidae","Leuconotopicus","villosus","Hairy Woodpecker","798797e3-280c-44f0-8ce9-b191288fae78",3
"39","Aves","Piciformes","Picidae","Picoides","dorsalis","American Three-toed Woodpecker","4202aba4-832d-4709-adf7-5f6c9d3e7673",2
"40","Aves","Piciformes","Picidae","Sphyrapicus","nuchalis","Red-naped Sapsucker","f8fb780f-44e3-4eb3-8637-0c9409319c1f",17
"41","Mammalia","Artiodactyla","Bovidae","Bos","taurus","Domestic Cattle","aca65aaa-8c6d-4b69-94de-842b08b13bd6",3316
"42","Mammalia","Carnivora","Canidae","Canis","latrans","Coyote","aaf3b049-36e6-46dd-9a07-8a580e9618b7",982
"43","Mammalia","Carnivora","Canidae","Canis","lupus","Grey Wolf","ee8d5a89-f82e-4323-80e2-0ffc9487ebaf",5672
"44","Mammalia","Carnivora","Canidae","Canis","lupus familiaris","Domestic Dog","3d80f1d6-b1df-4966-9ff4-94053c7a902a",2341
"45","Mammalia","Carnivora","Canidae","Vulpes","vulpes","Red Fox","ac0e8ba7-7261-4d17-8645-11ed3d02165a",6
"46","Mammalia","Carnivora","Felidae","Lynx","","Lynx Species","a21c3699-864e-432c-a2e1-cbb016d81158",77
"47","Mammalia","Carnivora","Felidae","Lynx","canadensis","Canada Lynx","11eaadc0-e38e-473f-be82-b97f0c0fc571",934
"48","Mammalia","Carnivora","Felidae","Lynx","rufus","Bobcat","ba76d46e-25de-45e2-90a8-bd279b650f7c",15
"49","Mammalia","Carnivora","Felidae","Puma","concolor","Puma","9c564562-9429-405c-8529-04cff7752282",162
"50","Mammalia","Carnivora","Mephitidae","Mephitis","mephitis","Striped Skunk","9282b7e4-f3b0-4ef3-9741-cae7f7bd346a",3
"51","Mammalia","Carnivora","Mustelidae","Gulo","gulo","Wolverine","33aebad1-08bd-4d07-a82e-bdc55dc9e8ef",15
