"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
"ALM","ALM_2018_279-2","279-2","-77.64676","-5.693291",2018-08-29,2018-10-09,"2018","CT-ALM","None","","Other","","P800HG08192031","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_279-1","279-1","-77.6470149999999","-5.693742",2018-08-29,2018-10-09,"2018","CT-ALM","None","","Other","","P800HK03274372","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_282-1","282-1","-77.6431149999999","-5.694433",2018-08-29,2018-10-09,"2018","CT-ALM","None","","Other","","P800HK03274413","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_302-1","302-1","-77.6260079999999","-5.702298",2018-08-28,2018-10-09,"2018","CT-ALM","None","","Other","","P800HJ10265507","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_249-2","249-2","-77.6273419999999","-5.699834",2018-08-28,2018-10-09,"2018","CT-ALM","None","","Other","","P800HK01270979","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_249-1","249-1","-77.627842","-5.700192",2018-08-28,2018-10-09,"2018","CT-ALM","None","","Other","","P800HK01270983","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_300-1","300-1","-77.6222159999999","-5.70093",2018-08-28,2018-10-09,"2018","CT-ALM","None","","None","","P800HF01172773","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_454-1","454-1","-77.51473","-5.801945",2018-08-26,2018-10-06,"2018","CT-ALM","None","","Other","","P800HG08192104","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_454-2","454-2","-77.514408","-5.801978",2018-08-26,2018-10-06,"2018","CT-ALM","None","","Other","","P800DD10112244","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_454-3","454-3","-77.514137","-5.802058",2018-08-26,2018-10-06,"2018","CT-ALM","None","","None","","P800HF09164015","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_321-1","321-1","-77.5199669999999","-5.79809",2018-08-26,2018-10-06,"2018","CT-ALM","None","","Other","","P800HF01172971","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_319-1","319-1","-77.5199149999999","-5.797036",2018-08-26,2018-10-06,"2018","CT-ALM","None","","Other","","P800DD10112240","","Camera Functioning","Knee height","","Parallel","",""
"ALM","ALM_2018_315-1","315-1","-77.533612","-5.788472",2018-08-26,2018-10-06,"2018","CT-ALM","None","","Other","","P800DD10112218","","Camera Functioning","Knee height","","Parallel","",""
