original_gs,Your_genus,Your_species,Your_nonspecies,class,order,family,genus,species,commonNameEnglish,uniqueIdentifier
,,,Blank,,,,,,Blank,f1856211-cfb7-4a5b-9158-c0f72fd09ee6
,,,Setup/Pickup,,,,,,Setup_Pickup,c47b0c62-3d30-493f-8196-d362cf119cbf
,,,Unidentifiable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown species,1f689929-883d-4dae-958c-3d57ab5b6c16
,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown species,1f689929-883d-4dae-958c-3d57ab5b6c16
,,,End,,,,,,Setup_Pickup,c47b0c62-3d30-493f-8196-d362cf119cbf
,,,Start,,,,,,Setup_Pickup,c47b0c62-3d30-493f-8196-d362cf119cbf
,,,Misfired,,,,,,Misfire,9999ab1f-bea0-436c-8f52-1d45c7063ff7
Cuniculus paca,Cuniculus,paca,,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,32c0147f-1967-4644-b107-8133ae1f020a
Nasua nasua,Nasua,nasua,,Mammalia,Carnivora,Procyonidae,Nasua,nasua,South American Coati,1d3bbcaa-f81a-41d9-8904-5cc8a505af32
Dasyprocta fuliginosa,Dasyprocta,fuliginosa,,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Black Agouti,d62cd43d-a519-4cd5-aef2-b76ae4bd16c1
Homo sapiens,Homo,sapiens,,Mammalia,Primates,Hominidae,Homo,sapiens,Human,990ae9dd-7a59-4344-afcb-1b7b21368000
Homo sapiens - Unknown,Homo,sapiens,,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,066c4187-4a03-4531-9f62-ac585ad0a138
Homo sapiens - Researcher,Homo,sapiens,,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,e6f88ed1-c305-4e94-b53d-8eec1b1d980a
Homo sapiens - Resident,Homo,sapiens,,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Resident,128d0fac-f96d-4a98-af18-2903dbbe1568
Sciurus igniventris,Sciurus,igniventris,,Mammalia,Rodentia,Sciuridae,Sciurus,igniventris,Northern Amazon Red Squirrel,46bbb254-6a97-40f0-b07b-d229b211e6db
Cebus albifrons,Cebus,albifrons,,Mammalia,Primates,Cebidae,Cebus,albifrons,Humboldt's White-fronted Capuchin,2cc1ffd0-cf54-45ec-b99a-65c121c6760e
Didelphis marsupialis,Didelphis,marsupialis,,Mammalia,Didelphimorphia,Didelphidae,Didelphis,marsupialis,Common Opossum,4ac36fff-912b-467a-8dab-95ee49d26787
Taraba major,Taraba,major,,Aves,Passeriformes,Thamnophilidae,Taraba,major,Great Antshrike,05a9817a-60ad-460f-8448-018a38090858
