"cadfw","wi"
"UNID","1f689929-883d-4dae-958c-3d57ab5b6c16"
"VEHICLE","1a6d048a-28da-45bb-845d-a14cc5b7d61a"
"CATTLE","aca65aaa-8c6d-4b69-94de-842b08b13bd6"
"CANLAT","aaf3b049-36e6-46dd-9a07-8a580e9618b7"
"DOMCAT","9212982e-8a58-4775-a6ac-e9a43110d8f5"
"BIRD?","b1352069-a39c-4a84-a949-60044271c0c1"
"SPEBEE","d01f67fd-836b-4b25-89fc-2239e59f56b0"
"COMRAV","9805e578-061a-49c0-8abc-ea135381c162"
"MARTEN","819ea972-9d43-40f8-a47d-f415c816de94"
"NORFLI","02799ea2-fba0-4883-b27e-b41ae387e884"
"NEO???","5a06cb57-9553-46f9-ace2-fcfddbcdc753"
"LEPAME","0f2e2c41-f1bb-4cdd-8e97-ba7cffba3e86"
"BIRD","b1352069-a39c-4a84-a949-60044271c0c1"
"CALQUA","daf972d0-b038-4d10-8862-01d0e590e551"
"UNBIRD","b1352069-a39c-4a84-a949-60044271c0c1"
"UNINSECT","9fb844bd-26d1-49f1-a829-0025a48d3bdb"
"STEJAY","68b01aa1-dfc1-46a6-bcac-87767647ad17"
"UNDIPOD","583c7fae-59f0-40f1-9ce7-484717f2f0ad"
"WESBLU","f1f60795-caf2-4566-b1fd-45c6d66fb37b"
"SPOTOW","9f97ef7d-beb4-4350-b6c3-2738872173ab"
"MOUQUA","5ff8c8fd-372e-4bfb-8ca2-18e33780c797"
"DOMDOG","3d80f1d6-b1df-4966-9ff4-94053c7a902a"
