"Event","uniqueIdentifier"
"UNID","1f689929-883d-4dae-958c-3d57ab5b6c16"
"VEHICLE","1a6d048a-28da-45bb-845d-a14cc5b7d61a"
"CATTLE","aca65aaa-8c6d-4b69-94de-842b08b13bd6"
"CANLAT","aaf3b049-36e6-46dd-9a07-8a580e9618b7"
"DOMCAT","9212982e-8a58-4775-a6ac-e9a43110d8f5"
"BIRD?","b1352069-a39c-4a84-a949-60044271c0c1"
"SPEBEE","d01f67fd-836b-4b25-89fc-2239e59f56b0"
"COMRAV","9805e578-061a-49c0-8abc-ea135381c162"
"MARTEN","819ea972-9d43-40f8-a47d-f415c816de94"
"NORFLI","02799ea2-fba0-4883-b27e-b41ae387e884"
"NEO???","5a06cb57-9553-46f9-ace2-fcfddbcdc753"
"LEPAME","0f2e2c41-f1bb-4cdd-8e97-ba7cffba3e86"
"BIRD","b1352069-a39c-4a84-a949-60044271c0c1"
"CALQUA","daf972d0-b038-4d10-8862-01d0e590e551"
"UNBIRD","b1352069-a39c-4a84-a949-60044271c0c1"
"UNINSECT","9fb844bd-26d1-49f1-a829-0025a48d3bdb"
"STEJAY","68b01aa1-dfc1-46a6-bcac-87767647ad17"
"UNDIPOD","583c7fae-59f0-40f1-9ce7-484717f2f0ad"
"WESBLU","f1f60795-caf2-4566-b1fd-45c6d66fb37b"
"SPOTOW","9f97ef7d-beb4-4350-b6c3-2738872173ab"
"MOUQUA","5ff8c8fd-372e-4bfb-8ca2-18e33780c797"
"DOMDOG","3d80f1d6-b1df-4966-9ff4-94053c7a902a"
"ANTAME","00804e75-09ef-44e5-8984-85e365377d47"
"RACCOON","b57debc1-dff2-48d3-a400-f2b5021e71b0"
"ODOHEM","febff896-db40-4ac8-bcfe-5bb99a600950"
"HUMAN","990ae9dd-7a59-4344-afcb-1b7b21368000"
"SCIGRI","3358e0f4-7c5d-45cb-a068-40b36b26d4ad"
"CERELA","3e4fac86-1e90-403c-b798-c20a93df373c"
"UROCIN","ffe603fc-4920-4302-96d0-65f708bd5b2d"
"LYNRUF","ba76d46e-25de-45e2-90a8-bd279b650f7c"
"BADGER","e70effd7-855e-4ba3-966c-a4fbb74eab13"
"LEPCAL","9c7ff463-d1cb-47a6-9afa-30a7b7760fc0"
"OPOSSUM","87be3a5c-e60a-4e7e-88c7-21544914d067"
"TURVUL","2573d6c8-6924-4fca-8a1f-cdb00b1cc859"
"SYLBAC","4c5ad642-4465-4b49-97ca-7d6d89223b28"
"BATPIG","9dd163d5-ae08-47e9-a812-edfc5c7564b9"
"WILTUR","94d8284e-6193-43b5-b80c-9029cf951675"
"NEOFUS","7456147d-defd-469a-a131-f6ab01c51a80"
"MEPMEP","9282b7e4-f3b0-4ef3-9741-cae7f7bd346a"
"UNSYLVIL","cacc63d7-b949-4731-abce-a403ba76ee34"
"GRHOWL","b9f145ef-bd00-4d66-93ba-6e3fb4e51e9f"
"RINPHE","9ba3565d-9934-4e74-8ef4-d110ad587014"
"BREBLA","0364fc81-17d7-4495-a48c-4fc396b44d5d"
"UNREPTILE","739a105e-d883-4ff8-9282-7ec44018e6a0"
"UNLEPOR","6c09fa63-2acc-4915-a60b-bd8cee40aedb"
"MOURDOV","0ccfe789-41e3-45b8-bdbc-36f0ce73db48"
"WESJAY","f76dea54-8d1d-4483-846b-a5c47ea7d4eb"
"WHCSPA","fd02a22d-cff0-40e3-98f5-8a7f77382463"
"MOUDOV","0ccfe789-41e3-45b8-bdbc-36f0ce73db48"
"UA","627c919c-29bc-439b-acde-62b3cd31f8a8"
"DIDVIR","87be3a5c-e60a-4e7e-88c7-21544914d067"
"AMECRO","87fdd451-ca1e-47b1-af43-aa4517cd13bf"
"UNRODENT","90d950db-2106-4bd9-a4c1-777604c3eada"
"DOMSHE","0de8422e-f59d-4802-9e93-ab8559e43e55"
"AMEKES","1ab198a0-04dc-4407-8370-1a458c0c9f8e"
"GRBHER","96fe1a07-7ef1-4a2f-99e1-ec2c9a78b532"
"GREROA","2c5de670-22bf-4352-87b9-8ece74442e85"
"YEBMA","c1750080-1f8e-4238-b121-066d700f1641"
"EURSTA","8a50bd14-97f4-4f76-8e6c-5edeeb5be43f"
"HORSE","5109acb4-e503-4147-a175-a3c6aa71f1e3"
"INDPEA","f90f90b5-b363-489d-ac71-feea6c780f56"
"UNTAM","8a9cc0e5-2fe9-411a-a4f3-982f56a1e68a"
"UNBUTTERFLY","f90f90b5-b363-489d-ac71-feea6c780f56"
"RETHAW","c0206b78-8e3a-4612-84c7-ba13a36ba3f2"
"UNSYVIL","cacc63d7-b949-4731-abce-a403ba76ee34"
"CALTHR","c390a069-ea08-415a-9a86-ff485090b787"
