"id","class","order","family","genus","species","authority","commonNameEnglish","taxonomyType","uniqueIdentifier"
2021045,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Unknown species","biological","1f689929-883d-4dae-958c-3d57ab5b6c16"
2000003,"Mammalia","Rodentia","Abrocomidae","Abrocoma","bennettii","Waterhouse, 1837","Bennett's Chinchilla Rat","biological","7a6c93a5-bdf7-4182-82f9-7a67d23f7fe1"
2000004,"Mammalia","Rodentia","Abrocomidae","Abrocoma","boliviensis","Glanz & Anderson, 1990","Bolivian Chinchilla Rat","biological","25992d0a-5814-48ee-a2f3-e26862dbe0db"
2000005,"Mammalia","Rodentia","Abrocomidae","Abrocoma","budini","Thomas, 1920","Budin's Chinchilla Rat","biological","b2307167-7f7b-4349-8f3d-6c1786720290"
2000006,"Mammalia","Rodentia","Abrocomidae","Abrocoma","cinerea","Thomas, 1919","Ashy Chinchilla Rat","biological","8bb0e53f-a1f8-4387-88fe-0eabf00d06f2"
2000008,"Mammalia","Rodentia","Abrocomidae","Abrocoma","shistacea","Thomas, 1921","Sierra Del Tontal Chinchilla Rat","biological","cd6e2617-a488-4647-a9d5-b67f7a18af60"
2000009,"Mammalia","Rodentia","Abrocomidae","Abrocoma","uspallata","Braun & Mares, 2002","Uspallata Chinchilla Rat","biological","5b5dbd07-8e39-4821-baed-682d2a3068dc"
2000011,"Mammalia","Rodentia","Cricetidae","Abrothrix","andinus","Philippi, 1858","Andean Akodont","biological","dda0bcc7-912e-41db-947c-b5902f86ab71"
2000012,"Mammalia","Rodentia","Cricetidae","Abrothrix","illutea","Thomas, 1925","Gray Akodont","biological","bc6edcdb-6a74-4d36-87c5-51aa3422849b"
2000013,"Mammalia","Rodentia","Cricetidae","Abrothrix","jelskii","Thomas, 1894","Jelski's Altiplano Mouse","biological","7846c264-b5f6-4de1-8605-e90f0b5cea65"
2000014,"Mammalia","Rodentia","Cricetidae","Abrothrix","lanosus","Thomas, 1897","Woolly Grass Mouse","biological","4cf4b7d8-ca39-451d-ba5a-a9fa09b79671"
2000016,"Mammalia","Rodentia","Cricetidae","Abrothrix","olivaceus","Waterhouse, 1837","Olive Grass Mouse","biological","b43ea6f6-99d9-463c-b7be-69450c25cd0b"
2000017,"Mammalia","Rodentia","Cricetidae","Abrothrix","sanborni","Osgood, 1943","Sanborn's Grass Mouse","biological","60d096c9-c51c-4858-9998-a84bc80b1f9f"
2000018,"Mammalia","Chiroptera","Pteropodidae","Acerodon","celebensis","Peters, 1867","Sulawesi Fruit Bat","biological","2a27f7b4-522c-49b6-b6db-b199e2f918c8"
2000020,"Mammalia","Chiroptera","Pteropodidae","Acerodon","jubatus","Eschscholtz, 1831","Golden-capped Fruit Bat","biological","fa31493d-bebf-4972-af49-05ee60ac04eb"
2000021,"Mammalia","Chiroptera","Pteropodidae","Acerodon","leucotis","Sanborn, 1950","Palawan Fruit Bat","biological","2a0f799e-124d-4722-88a2-1671282d730d"
