"id","class","order","family","genus","species","commonNameEnglish"
1,"Mammalia","Rodentia","Muridae","Abditomys","latidens","Luzon Broad-toothed Rat"
2,"Mammalia","Rodentia","Muridae","Abeomelomys","sevia","Menzies' Mouse"
3,"Mammalia","Rodentia","Cricetidae","Abrawayaomys","ruschii","Ruschi's Rat"
4,"Mammalia","Rodentia","Abrocomidae","Abrocoma","bennettii","Bennett's Chinchilla Rat"
5,"Mammalia","Rodentia","Abrocomidae","Abrocoma","boliviensis","Bolivian Chinchilla Rat"
6,"Mammalia","Rodentia","Abrocomidae","Abrocoma","budini","Budin's Chinchilla Rat"
7,"Mammalia","Rodentia","Abrocomidae","Abrocoma","cinerea","Ashy Chinchilla Rat"
8,"Mammalia","Rodentia","Abrocomidae","Abrocoma","famatina","Famatina Chinchilla Rat"
9,"Mammalia","Rodentia","Abrocomidae","Abrocoma","shistacea","Sierra Del Tontal Chinchilla Rat"
10,"Mammalia","Rodentia","Abrocomidae","Abrocoma","uspallata","Uspallata Chinchilla Rat"
11,"Mammalia","Rodentia","Abrocomidae","Abrocoma","vaccarum","Mendozan Chinchilla Rat"
12,"Mammalia","Rodentia","Cricetidae","Abrothrix","andinus","Andean Akodont"
13,"Mammalia","Rodentia","Cricetidae","Abrothrix","illutea","Gray Akodont"
14,"Mammalia","Rodentia","Cricetidae","Abrothrix","jelskii","Jelski's Altiplano Mouse"
15,"Mammalia","Rodentia","Cricetidae","Abrothrix","lanosus","Woolly Grass Mouse"
16,"Mammalia","Rodentia","Cricetidae","Abrothrix","longipilis","Long-haired Akodont"
17,"Mammalia","Rodentia","Cricetidae","Abrothrix","olivaceus","Olive Grass Mouse"
18,"Mammalia","Rodentia","Cricetidae","Abrothrix","sanborni","Sanborn's Grass Mouse"
19,"Mammalia","Chiroptera","Pteropodidae","Acerodon","celebensis","Sulawesi Fruit Bat"
20,"Mammalia","Chiroptera","Pteropodidae","Acerodon","humilis","Talaud Fruit Bat"
21,"Mammalia","Chiroptera","Pteropodidae","Acerodon","jubatus","Golden-capped Fruit Bat"
22,"Mammalia","Chiroptera","Pteropodidae","Acerodon","leucotis","Palawan Fruit Bat"
23,"Mammalia","Chiroptera","Pteropodidae","Acerodon","mackloti","Sunda Fruit Bat"
24,"Mammalia","Carnivora","Felidae","Acinonyx","jubatus","Cheetah"
25,"Mammalia","Rodentia","Muridae","Acomys","airensis","Western Saharan Spiny Mouse"
26,"Mammalia","Rodentia","Muridae","Acomys","cahirinus","Cairo Spiny Mouse"
27,"Mammalia","Rodentia","Muridae","Acomys","cilicicus","Asia Minor Spiny Mouse"
28,"Mammalia","Rodentia","Muridae","Acomys","cineraceus","Gray Spiny Mouse"
29,"Mammalia","Rodentia","Muridae","Acomys","dimidiatus","Arabian Spiny Mouse"
30,"Mammalia","Rodentia","Muridae","Acomys","ignitus","Fiery Spiny Mouse"
31,"Mammalia","Rodentia","Muridae","Acomys","johannis","Johan's Spiny Mouse"
32,"Mammalia","Rodentia","Muridae","Acomys","kempi","Kemp's Spiny Mouse"
33,"Mammalia","Rodentia","Muridae","Acomys","louisae","Louise's Spiny Mouse"
34,"Mammalia","Rodentia","Muridae","Acomys","minous","Crete Spiny Mouse"
35,"Mammalia","Rodentia","Muridae","Acomys","mullah","Mullah Spiny Mouse"
36,"Mammalia","Rodentia","Muridae","Acomys","nesiotes","Cyprus Spiny Mouse"
37,"Mammalia","Rodentia","Muridae","Acomys","percivali","Percival's Spiny Mouse"
38,"Mammalia","Rodentia","Muridae","Acomys","russatus","Golden Spiny Mouse"
39,"Mammalia","Rodentia","Muridae","Acomys","seurati","Seurat's Spiny Mouse"
40,"Mammalia","Rodentia","Muridae","Acomys","spinosissimus","Spiny Mouse"
41,"Mammalia","Rodentia","Muridae","Acomys","subspinosus","Cape Spiny Mouse"
42,"Mammalia","Rodentia","Muridae","Acomys","wilsoni","Wilson's Spiny Mouse"
43,"Mammalia","Rodentia","Octodontidae","Aconaemys","fuscus","Chilean Rock Rat"
44,"Mammalia","Rodentia","Octodontidae","Aconaemys","porteri","Porter's Rock Rat"
45,"Mammalia","Rodentia","Octodontidae","Aconaemys","sagei","Sage's Rock Rat"
46,"Mammalia","Diprotodontia","Acrobatidae","Acrobates","pygmaeus","Feathertail Glider"
47,"Mammalia","Cetartiodactyla","Bovidae","Addax","nasomaculatus","Addax"
48,"Mammalia","Rodentia","Cricetidae","Aegialomys","galapagoensis","Galapagos Rice Rat"
49,"Mammalia","Rodentia","Cricetidae","Aegialomys","xanthaeolus","Yellowish Rice Rat"
50,"Mammalia","Rodentia","Cricetidae","Aepeomys","lugens","Olive Montane Mouse"
51,"Mammalia","Rodentia","Cricetidae","Aepeomys","reigi","Reig's Aepeomys"
52,"Mammalia","Cetartiodactyla","Bovidae","Aepyceros","melampus","Impala"
53,"Mammalia","Diprotodontia","Potoroidae","Aepyprymnus","rufescens","Rufous Bettong"
54,"Mammalia","Rodentia","Sciuridae","Aeretes","melanopterus","Northern Chinese Flying Squirrel"
55,"Mammalia","Rodentia","Sciuridae","Aeromys","tephromelas","Black Flying Squirrel"
56,"Mammalia","Rodentia","Sciuridae","Aeromys","thomasi","Thomas's Flying Squirrel"
57,"Mammalia","Chiroptera","Pteropodidae","Aethalops","aequalis","Borneo Fruit Bat"
58,"Mammalia","Chiroptera","Pteropodidae","Aethalops","alecto","Pygmy Fruit Bat"
59,"Mammalia","Rodentia","Muridae","Aethomys","bocagei","Bocage's Rock Rat"
60,"Mammalia","Rodentia","Muridae","Aethomys","chrysophilus","Red Rock Rat"
61,"Mammalia","Rodentia","Muridae","Aethomys","hindei","Hinde's Rock Rat"
62,"Mammalia","Rodentia","Muridae","Aethomys","ineptus","Tete Veld Aethomys"
63,"Mammalia","Rodentia","Muridae","Aethomys","kaiseri","Kaiser's Rock Rat"
64,"Mammalia","Rodentia","Muridae","Aethomys","nyikae","Nyika Rock Rat"
65,"Mammalia","Rodentia","Muridae","Aethomys","silindensis","Selinda Veld Rat"
66,"Mammalia","Rodentia","Muridae","Aethomys","stannarius","Tinfields Rock Rat"
67,"Mammalia","Rodentia","Muridae","Aethomys","thomasi","Thomas's Rock Rat"
68,"Mammalia","Carnivora","Ursidae","Ailuropoda","melanoleuca","Giant Panda"
69,"Mammalia","Diprotodontia","Phalangeridae","Ailurops","melanotis","Talaud Bear Cuscus"
70,"Mammalia","Diprotodontia","Phalangeridae","Ailurops","ursinus","Bear Cuscus"
71,"Mammalia","Carnivora","Ailuridae","Ailurus","fulgens","Red Panda"
72,"Mammalia","Rodentia","Cricetidae","Akodon","aerosus","Highland Grass Mouse"
73,"Mammalia","Rodentia","Cricetidae","Akodon","affinis","Colombian Grass Mouse"
74,"Mammalia","Rodentia","Cricetidae","Akodon","albiventer","White-bellied Grass Mouse"
75,"Mammalia","Rodentia","Cricetidae","Akodon","azarae","Azara's Grass Mouse"
76,"Mammalia","Rodentia","Cricetidae","Akodon","boliviensis","Bolivian Grass Mouse"
77,"Mammalia","Rodentia","Cricetidae","Akodon","budini","Budin's Grass Mouse"
78,"Mammalia","Rodentia","Cricetidae","Akodon","cursor","Cursor Grass Mouse"
79,"Mammalia","Rodentia","Cricetidae","Akodon","dayi","Day's Grass Mouse"
80,"Mammalia","Rodentia","Cricetidae","Akodon","dolores","Córdoba Akodont"
81,"Mammalia","Rodentia","Cricetidae","Akodon","fumeus","Smoky Grass Mouse"
82,"Mammalia","Rodentia","Cricetidae","Akodon","iniscatus","Intelligent Grass Mouse"
83,"Mammalia","Rodentia","Cricetidae","Akodon","juninensis","Junin Grass Mouse"
84,"Mammalia","Rodentia","Cricetidae","Akodon","kofordi","Koford's Grass Mouse"
85,"Mammalia","Rodentia","Cricetidae","Akodon","lindberghi","Lindbergh's Grass Mouse"
86,"Mammalia","Rodentia","Cricetidae","Akodon","lutescens","Altiplano Grass Mouse"
87,"Mammalia","Rodentia","Cricetidae","Akodon","mimus","Thespian Grass Mouse"
88,"Mammalia","Rodentia","Cricetidae","Akodon","molinae","Molina's Grass Mouse"
89,"Mammalia","Rodentia","Cricetidae","Akodon","mollis","Soft Grass Mouse"
90,"Mammalia","Rodentia","Cricetidae","Akodon","montensis","Montane Akodont"
91,"Mammalia","Rodentia","Cricetidae","Akodon","mystax","Caparaó Akodont"
92,"Mammalia","Rodentia","Cricetidae","Akodon","orophilus","El Dorado Grass Mouse"
93,"Mammalia","Rodentia","Cricetidae","Akodon","paranaensis","Paraná Akodont"
17454,"Mammalia","Rodentia","Cricetidae","Arborimus",NA,NA
94,"Mammalia","Rodentia","Cricetidae","Akodon","pervalens","Tarija Akodont"
95,"Mammalia","Rodentia","Cricetidae","Akodon","philipmyersi",NA
96,"Mammalia","Rodentia","Cricetidae","Akodon","reigi","Reig's Akodont"
97,"Mammalia","Rodentia","Cricetidae","Akodon","sanctipaulensis","Sao Paulo Grass Mouse"
98,"Mammalia","Rodentia","Cricetidae","Akodon","serrensis","Serrado Do Mar Grass Mouse"
99,"Mammalia","Rodentia","Cricetidae","Akodon","siberiae","Cochabamba Grass Mouse"
100,"Mammalia","Rodentia","Cricetidae","Akodon","simulator","Gray-bellied Grass Mouse"
101,"Mammalia","Rodentia","Cricetidae","Akodon","spegazzinii","Spegazzini's Grass Mouse"
102,"Mammalia","Rodentia","Cricetidae","Akodon","subfuscus","Puno Grass Mouse"
103,"Mammalia","Rodentia","Cricetidae","Akodon","surdus","Silent Grass Mouse"
104,"Mammalia","Rodentia","Cricetidae","Akodon","sylvanus","Forest Grass Mouse"
105,"Mammalia","Rodentia","Cricetidae","Akodon","toba","Chaco Grass Mouse"
106,"Mammalia","Rodentia","Cricetidae","Akodon","torques","Cloud Forest Grass Mouse"
107,"Mammalia","Rodentia","Cricetidae","Akodon","varius","Variable Grass Mouse"
108,"Mammalia","Cetartiodactyla","Bovidae","Alcelaphus","buselaphus","Hartebeest"
109,"Mammalia","Cetartiodactyla","Cervidae","Alces","alces","Moose"
110,"Mammalia","Chiroptera","Pteropodidae","Alionycteris","paucidentata","Mindanao Pygmy Fruit Bat"
111,"Mammalia","Rodentia","Dipodidae","Allactaga","balikunica","Balikun Jerboa"
112,"Mammalia","Rodentia","Dipodidae","Allactaga","bullata","Gobi Jerboa"
113,"Mammalia","Rodentia","Dipodidae","Allactaga","elater","Small Five-toed Jerboa"
114,"Mammalia","Rodentia","Dipodidae","Allactaga","euphratica","Euphrates Jerboa"
115,"Mammalia","Rodentia","Dipodidae","Allactaga","firouzi","Iranian Jerboa"
116,"Mammalia","Rodentia","Dipodidae","Allactaga","hotsoni","Hotson's Five-toed Jerboa"
117,"Mammalia","Rodentia","Dipodidae","Allactaga","major","Great Jerboa"
118,"Mammalia","Rodentia","Dipodidae","Allactaga","severtzovi","Svertzov's Jerboa"
119,"Mammalia","Rodentia","Dipodidae","Allactaga","sibirica","Siberian Jerboa"
120,"Mammalia","Rodentia","Dipodidae","Allactaga","tetradactyla","Four-toed Jerboa"
121,"Mammalia","Rodentia","Dipodidae","Allactaga","vinogradovi","Vinogradov's Jerboa"
122,"Mammalia","Rodentia","Dipodidae","Allactaga","williamsi","Williams's Jerboa"
123,"Mammalia","Rodentia","Dipodidae","Allactodipus","bobrinskii","Bobrinski's Jerboa"
124,"Mammalia","Primates","Cercopithecidae","Allenopithecus","nigroviridis","Allen's Swamp Monkey"
125,"Mammalia","Primates","Cheirogaleidae","Allocebus","trichotis","Hairy-eared Dwarf Lemur"
126,"Mammalia","Primates","Cercopithecidae","Allochrocebus","lhoesti","L'Hoest's Monkey"
127,"Mammalia","Primates","Cercopithecidae","Allochrocebus","preussi","Preuss's Monkey"
128,"Mammalia","Primates","Cercopithecidae","Allochrocebus","solatus","Sun-tailed Monkey"
129,"Mammalia","Rodentia","Cricetidae","Allocricetulus","curtatus","Mongolian Hamster"
130,"Mammalia","Rodentia","Cricetidae","Allocricetulus","eversmanni","Eversmann's Hamster"
131,"Mammalia","Primates","Atelidae","Alouatta","arctoidea","Ursine Howler Monkey"
132,"Mammalia","Primates","Atelidae","Alouatta","belzebul","Red-handed Howler Monkey"
133,"Mammalia","Primates","Atelidae","Alouatta","caraya","Black-and-gold Howler Monkey"
134,"Mammalia","Primates","Atelidae","Alouatta","discolor","Spix's Red-handed Howler Monkey"
135,"Mammalia","Primates","Atelidae","Alouatta","guariba","Brown Howler Monkey"
136,"Mammalia","Primates","Atelidae","Alouatta","macconnelli","Guianan Red Howler Monkey"
137,"Mammalia","Primates","Atelidae","Alouatta","nigerrima","Black Howler Monkey"
138,"Mammalia","Primates","Atelidae","Alouatta","palliata","Mantled Howler Monkey"
139,"Mammalia","Primates","Atelidae","Alouatta","pigra","Yucatán Black Howler Monkey"
