"","x"
"1",NA
"2","Cuniculus paca"
"3","Nasua nasua"
"4","Dasyprocta fuliginosa"
"5","Homo sapiens - Unknown"
"6","Leptotila unknown"
"7","Sciurus igniventris"
"8","Cebus albifrons"
"9","Marmosops unknown"
"10","Didelphis marsupialis"
"11","Microsciurus unknown"
"12","Cebus unknown"
"13","Taraba major"
"14","Homo sapiens"
"15","Homo sapiens - Researcher"
"16","Canis lupus familiaris"
"17","Sylvilagus unknown"
"18","Homo sapiens - Resident"
"19","Leopardus wiedii"
"20","Leopardus pardalis"
"21","Sciurus unknown"
"22","Odontophorus speciosus"
"23","Sciurus spadiceus"
"24","Dasypus novemcinctus"
"25","Leopardus unknown"
"26","Bos primigenius"
"27","Equus africanus"
"28","Aramides unknown"
"29","Sylvilagus brasiliensis"
"30","Gallus gallus"
"31","Sus scrofa"
"32","Numida meleagris"
"33","Felis silvestris"
"34","Meleagris gallopavo"
"35","Aramides cajaneus"
"36","Didelphis unknown"
"37","Metachirus unknown"
"38","Caluromys unknown"
"39","Equus unknown"
"40","Equus ferus"
"41","Leopardus tigrinus"
"42","Leopardus colocolo"
"43","Ortalis guttata"
"44","Crotophaga unknown"
"45","Philander unknown"
"46","Cebus apella"
"47","Accipiter unknown"
"48","Puma yagouaroundi"
"49","Zonotrichia capensis"
"50","Dasypus unknown"
"51","Catharus ustulatus"
"52","Crypturellus unknown"
"53","Mormoops unknown"
"54","Eira barbara"
"55","Cacicus cela"
"56","Conepatus unknown"
"57","Cyanocorax yncas"
"58","Ortalis unknown"
"59","Picumnus unknown"
"60","Cabassous unicinctus"
"61","Procyon cancrivorus"
"62","Colaptes punctigula"
"63","Catharus unknown"
"64","Nasua narica"
